ID;NOM;TYPE;FREQUENCE;COMPENSATION;POINTS;PAS_REEL;ICC_MIN;N_FUITE_LONG_ARR;CALCUL_CONFORME;I_FUITE_MAX;DIAPHONIE_MAX
2309;z1703C;TVM430;1700;P_VARIABLE;0;0;800;320;1;160;320
2310;z7703C;TVM430;2300;P_VARIABLE;0;0;800;320;1;160;320
2311;z5134J;TVM430;2600;P_VARIABLE;0;0;800;320;1;160;320
2312;z2325A;TVM430;1700;P_VARIABLE;0;0;800;320;1;160;320
2313;z4164A;TVM430;2600;P_VARIABLE;0;0;800;320;1;160;320
2314;z7319A;TVM430;2300;P_VARIABLE;0;0;800;320;1;160;320
2315;z1111B;TVM430;1700;P_VARIABLE;0;0;800;320;1;160;320
2316;z1332A;TVM430;2000;P_VARIABLE;0;0;800;320;1;160;320
2317;z2977B;TVM430;1700;P_VARIABLE;3;56;800;320;1;160;320
2318;z4167C;TVM430;2300;P_VARIABLE;3;90;800;320;1;160;320
2319;z4167F;TVM430;2300;P_VARIABLE;3;90;800;320;1;160;320
2320;z4172B;TVM430;2000;P_VARIABLE;5;52;800;320;1;160;320
2321;z4172E;TVM430;2000;P_VARIABLE;5;52;800;320;1;160;320
2322;z4427;TVM430;1700;P_VARIABLE;3;55;800;320;1;160;320
2323;z62A;UM71;2600;P_CONSTANT;13;100;800;320;0;160;320
2324;z5147;TVM430;2300;P_VARIABLE;1;54;800;320;1;160;320
2325;z5162C;TVM430;2000;P_VARIABLE;2;64;800;320;1;160;320
2326;z5162E;TVM430;2000;P_VARIABLE;2;56;800;320;1;160;320
2327;z5163A;TVM430;2300;P_VARIABLE;2;62;800;320;1;160;320
2328;z4436A;TVM430;2600;P_VARIABLE;12;76.45;800;320;1;160;320
2329;z4529;TVM430;2300;P_VARIABLE;20;78;800;320;1;160;320
2330;z4532A;TVM430;2000;P_VARIABLE;5;52.75;800;320;1;160;320
2331;z4632A;TVM430;2000;P_VARIABLE;12;61.72;800;320;1;160;320
2332;z4633B;TVM430;2300;P_VARIABLE;16;80;800;320;1;160;320
2333;z4662A;TVM430;2000;P_VARIABLE;10;57.33;800;320;1;160;320
2334;z1103B;TVM430;2300;P_VARIABLE;11;81.5;800;320;1;160;320
2335;z1110A;TVM430;2000;P_VARIABLE;18;59.11;800;320;1;160;320
2336;z1219;TVM430;2300;P_VARIABLE;18;78.58;800;320;1;160;320
2337;z1224A;TVM430;2000;P_VARIABLE;16;60.93;800;320;1;160;320
2338;z1293;TVM430;1700;P_VARIABLE;26;59.36;800;320;1;160;320
2339;z1332D;TVM430;2600;P_VARIABLE;4;75;800;320;1;160;320
2340;z1333;TVM430;2300;P_VARIABLE;19;81.27;800;320;1;160;320
2341;z1336;TVM430;2600;P_VARIABLE;19;79;800;320;1;160;320
2342;z1425C;TVM430;2300;P_VARIABLE;11;77.2;800;320;1;160;320
2343;z1532A;TVM430;2600;P_VARIABLE;21;80;800;320;1;160;320
2344;z1602;TVM430;2600;P_VARIABLE;18;80.94;800;320;1;160;320
2345;z1603D;TVM430;1700;P_VARIABLE;4;56.33;800;320;1;160;320
2346;z1636;TVM430;2000;P_VARIABLE;23;60;800;320;1;160;320
2347;z1732D;TVM430;2600;P_VARIABLE;6;83.8;800;320;1;160;320
2348;z1733;TVM430;1700;P_VARIABLE;26;60;800;320;1;160;320
2349;z1932D;TVM430;2000;P_VARIABLE;4;64;800;320;1;160;320
2350;z1933;TVM430;2300;P_VARIABLE;19;81.05;800;320;1;160;320
2351;z1936;TVM430;2000;P_VARIABLE;26;60;800;320;1;160;320
2352;z2033B;TVM430;2300;P_VARIABLE;18;78.05;800;320;1;160;320
2353;z2125C;TVM430;1700;P_VARIABLE;10;60;800;320;1;160;320
2354;z2136;TVM430;2000;P_VARIABLE;24;60;800;320;1;160;320
2355;z2232D;TVM430;2000;P_VARIABLE;5;61.5;800;320;1;160;320
2356;z2233B;TVM430;1700;P_VARIABLE;17;60;800;320;1;160;320
2357;z2325C;TVM430;1700;P_VARIABLE;13;58.41;800;320;1;160;320
2358;z2332A;TVM430;2600;P_VARIABLE;9;78.75;800;320;1;160;320
2359;z2429;TVM430;1700;P_VARIABLE;25;60;800;320;1;160;320
2360;z2432A;TVM430;2600;P_VARIABLE;8;75.28;800;320;1;160;320
2361;z2448;TVM430;2000;P_VARIABLE;24;61.3;800;320;1;160;320
2362;z2472A;TVM430;2000;P_VARIABLE;6;56.6;800;320;1;160;320
2363;z2532A;TVM430;2600;P_VARIABLE;9;75;800;320;1;160;320
2364;z2633B;TVM430;2300;P_VARIABLE;17;81.06;800;320;1;160;320
2365;z2636;TVM430;2600;P_VARIABLE;20;77.89;800;320;1;160;320
2366;z2725C;TVM430;2300;P_VARIABLE;12;80;800;320;1;160;320
2367;z2732A;TVM430;2600;P_VARIABLE;9;83.87;800;320;1;160;320
2368;z7141;SEI;2300;P_VARIABLE;19;77.77;800;320;1;160;320
2369;z7144A;SEI;2600;P_VARIABLE;17;80;800;320;1;160;320
2370;z6269;SEI;1700;P_VARIABLE;26;61.16;800;320;1;160;320
2371;z6302;SEI;2600;P_VARIABLE;20;80;800;320;1;160;320
2372;z6403A;SEI;2300;P_VARIABLE;9;75;800;320;1;160;320
2373;z6413A;SEI;2300;P_VARIABLE;8;78;800;320;1;160;320
2374;z6418C;SEI;2600;P_VARIABLE;9;80;800;320;1;160;320
2375;z2833B;TVM430;2300;P_VARIABLE;8;77.28;800;320;1;160;320
2376;z2903C;TVM430;2300;P_VARIABLE;12;76.54;800;320;1;160;320
2377;z2932;TVM430;2600;P_VARIABLE;20;78.36;800;320;1;160;320
