ID;JOINT;CIRCUIT;PRINCIPAL;DB;EMETTEUR;DEMI_PAS
7443;3832;5363;True;False;True;30
7444;3833;5363;True;False;True;30
7445;3833;5364;True;False;True;0
7446;3834;5364;True;False;True;0
7447;3834;5365;True;False;True;33
7448;3835;5365;True;False;True;33
7449;3835;5366;True;False;True;35.5
7450;3836;5366;False;False;True;71
7451;3837;5366;True;False;True;35.5
7452;3837;5367;True;False;True;30
7453;3838;5367;True;False;True;30
7454;3838;5368;True;False;True;40
7455;3839;5368;True;False;True;40
7456;3839;5369;True;False;True;30
7457;3840;5369;True;False;True;30
7458;3840;5370;True;False;True;40
7459;3841;5370;True;True;True;40
7460;3841;5371;True;True;True;30
7461;3842;5371;True;True;True;30
7462;3843;5372;True;False;True;29.5
7463;3844;5372;True;True;True;29.5
7464;3844;5373;True;True;True;54
7465;3845;5373;True;True;True;54
7466;3845;5374;True;True;True;26.5
7467;3836;5374;True;False;True;26.5
7468;3846;5375;True;True;True;30
7469;3847;5375;True;False;True;30
7470;3847;5376;True;False;True;40
7471;3848;5376;True;False;True;40
7472;3848;5377;True;False;True;34.5
7473;3849;5377;True;False;True;34.5
7474;3849;5378;True;False;True;0
7475;3850;5378;True;False;True;0
7476;3850;5379;True;False;True;30
7477;3851;5379;True;False;True;30
7478;3851;5380;True;False;True;40
7479;3672;5380;False;False;True;80
7480;3852;5380;True;False;True;40
7481;3852;5381;True;False;True;30
7482;3853;5381;True;False;True;30
7483;3853;5382;True;False;True;40
7484;3854;5382;True;True;True;40
7485;3854;5383;True;True;True;30
7486;3855;5383;False;False;True;60
7487;3856;5383;True;True;True;30
7488;3856;5384;True;False;True;0
7489;3857;5384;True;False;True;0
7490;3857;5385;True;False;True;30
7491;3858;5385;True;False;True;30
7492;3858;5386;True;False;True;0
7493;3859;5386;True;False;True;0
7494;3859;5387;True;False;True;30
7495;3860;5387;False;False;True;60
7496;3861;5387;True;False;True;30
7497;3861;5388;True;False;True;40
7498;3683;5388;False;False;True;80
7499;3862;5388;True;False;True;40
7500;3862;5389;True;False;True;30
7501;3863;5389;False;False;True;60
7502;3864;5389;True;False;True;30
7503;3864;5390;True;False;True;40
7504;3865;5390;True;True;True;40
7505;3865;5391;True;True;True;29
7506;3866;5391;True;True;True;29
7507;3855;5392;True;False;True;38
7508;3867;5392;True;True;True;38
7509;3867;5393;True;True;True;30
7510;3868;5393;True;True;True;30
7511;3868;5394;True;True;True;37.5
7512;3860;5394;True;False;True;37.5
7513;3863;5395;True;False;True;35.5
7514;3869;5395;True;True;True;35.5
7515;3869;5396;True;True;True;49
7516;3870;5396;True;True;True;49
7517;3870;5397;True;True;True;40
7518;3871;5397;True;False;True;40
7519;3872;5398;True;True;True;40.5
7520;3873;5398;True;True;True;40.5
7521;3873;5399;True;True;True;28.5
7522;3874;5399;True;True;True;28.5
7523;3874;5400;True;True;True;40
7524;3875;5400;True;False;True;40
7525;3875;5401;True;False;True;30
7526;3714;5401;False;False;True;60
7527;3876;5401;True;False;True;30
7528;3876;5402;True;False;True;40
7529;3877;5402;False;False;True;80
7530;3878;5402;True;False;True;40
7531;3878;5403;True;False;True;0
7532;3879;5403;True;False;True;0
7533;3879;5404;True;False;True;40
7534;3880;5404;True;False;True;40
7535;3880;5405;True;False;True;0
7536;3881;5405;True;False;True;0
7537;3881;5406;True;False;True;40
7538;3882;5406;False;False;True;80
7539;3883;5406;True;False;True;40
7540;3883;5407;True;False;True;30
7541;3721;5407;False;False;True;60
7542;3884;5407;True;False;True;30
7543;3884;5408;True;False;True;40
7544;3885;5408;True;True;True;40
7545;3885;5409;True;True;True;25.5
7546;3886;5409;True;False;True;25.5
7547;3886;5410;True;False;True;40
7548;3887;5410;True;False;True;40
7549;3887;5411;True;False;True;30
7550;3888;5411;True;True;True;30
7551;3877;5412;True;False;True;26
7552;3889;5412;True;False;True;26
7553;3889;5413;True;False;True;40
7554;3890;5413;True;False;True;40
7555;3890;5414;True;False;True;37
7556;3882;5414;True;False;True;37
7557;3891;5415;True;True;True;40
7558;3892;5415;True;False;True;40
7559;3892;5416;True;False;True;30
7560;3893;5416;True;False;True;30
7561;3893;5417;True;False;True;40
7562;3894;5417;True;False;True;40
7563;3894;5418;True;False;True;30
7564;3895;5418;False;False;True;60
7565;3896;5418;True;False;True;30
7566;3896;5419;True;False;True;40
7567;3897;5419;True;True;True;40
7568;3897;5420;True;True;True;30
7569;3898;5420;True;True;True;30
7570;3898;5421;True;True;True;40
7571;3899;5421;True;False;True;40
